timestamp_utc,mark_close,high,low,effective_bid,effective_ask,effective_spread,volume,source
2026-07-28T14:16:00+00:00,6.84,7.33,6.84,7.085,7.29,0.205,26,unusual_whales
2026-07-28T14:17:00+00:00,6.92,7.01,6.91,7.01,6.9191,,125,unusual_whales
2026-07-28T14:18:00+00:00,7.19,7.19,6.93,,7.0242,,22,unusual_whales
2026-07-28T14:19:00+00:00,6.95,7.09,6.91,6.95,7.0675,0.1175,18,unusual_whales
2026-07-28T14:20:00+00:00,6.91,7.06,6.91,7.06,6.9624,,22,unusual_whales
2026-07-28T14:21:00+00:00,6.74,6.74,6.74,,6.74,,5,unusual_whales
2026-07-28T14:23:00+00:00,7.53,7.53,7.5,7.53,7.5,,4,unusual_whales
2026-07-28T14:24:00+00:00,7.61,7.93,7.61,7.8586,7.6729,,14,unusual_whales
2026-07-28T14:25:00+00:00,7.48,7.5,7.37,7.4821,,,240,unusual_whales
2026-07-28T14:26:00+00:00,7.57,7.72,7.48,7.72,7.495,,7,unusual_whales
2026-07-28T14:27:00+00:00,7.52,7.52,7.52,7.52,,,1,unusual_whales
2026-07-28T14:28:00+00:00,7.64,7.64,7.64,,7.64,,1,unusual_whales
2026-07-28T14:29:00+00:00,7.8,7.8,7.8,,7.8,,5,unusual_whales
2026-07-28T14:30:00+00:00,7.72,8.1,7.72,8.0255,8.05,0.0245,38,unusual_whales
2026-07-28T14:31:00+00:00,7.96,7.96,7.96,7.96,,,1,unusual_whales
2026-07-28T14:32:00+00:00,7.7,8.0,7.7,7.88,7.9,0.02,4,unusual_whales
2026-07-28T14:33:00+00:00,7.74,7.74,7.74,7.74,,,1,unusual_whales
2026-07-28T14:34:00+00:00,7.5,8.0,7.5,7.7567,7.9,0.1433,14,unusual_whales
2026-07-28T14:35:00+00:00,7.87,7.87,7.35,7.35,7.685,0.335,3,unusual_whales
2026-07-28T14:36:00+00:00,8.46,8.46,8.25,8.46,8.3046,,16,unusual_whales
2026-07-28T14:37:00+00:00,8.36,8.65,8.36,8.36,8.65,0.29,3,unusual_whales
